trip_id,stop_sequence,service_id,stop_id
1,1,000001,8005776_3       
1,2,000001,8005779_2       
1,3,000001,8006513_2       
1,4,000001,8006698_2       
1,5,000001,8006699_2       
1,6,000001,8006700_2       
1,7,000001,8098096_102     
1,8,000001,8005769_3       
1,9,000001,8004357_4       
1,10,000001,8005774_4       
1,11,000001,8001974_1       
2,12,000001,8000180_3       
2,13,000002,8004333_1       
2,14,000002,8005454_2       
2,15,000001,8006479_2       
2,16,000002,8004233_2       
2,17,000002,8003913_2       
2,18,000002,8000016_5       
3,1,000003,8006479_2       
3,2,000003,8004233_2       
3,3,000003,8003913_2       
4,1,000001,8000016_5       
4,2,000002,8003913_1       
4,3,000002,8004233_1       
4,4,000002,8006479_3       
4,5,000002,8005454_1       
4,6,000002,8004333_2       
5,7,000001,8000180_1       
5,8,000001,8001974_4       
5,9,000001,8005774_1       
5,10,000001,8004357_1       
5,11,000001,8005769_2       
5,12,000001,8098096_101     
5,13,000001,8006700_1       
5,14,000001,8006699_1       
5,15,000001,8006698_1       
5,16,000001,8006513_1       
5,17,000001,8005779_1       
5,18,000001,8005776_2       
6,1,000003,8000016_5       
6,2,000003,8003913_1       
6,3,000003,8004233_1       
6,4,000003,8006479_3       
7,1,000001,8005776_3       
7,2,000001,8005779_2       
7,3,000001,8006513_2       
7,4,000001,8006698_2       
7,5,000001,8006699_2       
7,6,000001,8006700_2       
7,7,000001,8098096_102     
7,8,000001,8005769_3       
7,9,000001,8004357_4       
7,10,000001,8005774_4       
7,11,000001,8001974_1       
8,12,000001,8000180_3       
8,13,000002,8004333_1       
8,14,000002,8005454_2       
8,15,000001,8006479_2       
8,16,000002,8004233_2       
8,17,000002,8003913_2       
8,18,000002,8000016_5       
9,1,000003,8006479_2       
9,2,000003,8004233_2       
9,3,000003,8003913_2       
10,1,000001,8000016_5       
10,2,000002,8003913_1       
10,3,000002,8004233_1       
10,4,000002,8006479_3       
10,5,000002,8005454_1       
10,6,000002,8004333_2       
11,7,000001,8000180_1       
11,8,000001,8001974_4       
11,9,000001,8005774_1       
11,10,000001,8004357_1       
11,11,000001,8005769_2       
11,12,000001,8098096_101     
11,13,000001,8006700_1       
11,14,000001,8006699_1       
11,15,000001,8006698_1       
11,16,000001,8006513_1       
11,17,000001,8005779_1       
11,18,000001,8005776_2       
12,1,000003,8000016_5       
12,2,000003,8003913_1       
12,3,000003,8004233_1       
12,4,000003,8006479_3       
13,1,000003,8006479_2       
13,2,000003,8004233_2       
13,3,000003,8003913_2       
14,1,000001,8005776_3       
14,2,000001,8005779_2       
14,3,000001,8006513_2       
14,4,000001,8006698_2       
14,5,000001,8006699_2       
14,6,000001,8006700_2       
14,7,000001,8098096_102     
14,8,000001,8005769_3       
14,9,000001,8004357_4       
14,10,000001,8005774_4       
14,11,000001,8001974_1       
15,12,000001,8000180_3       
15,13,000002,8004333_1       
15,14,000002,8005454_2       
15,15,000001,8006479_2       
15,16,000002,8004233_2       
15,17,000002,8003913_2       
15,18,000002,8000016_5       
16,1,000001,8000016_5       
16,2,000002,8003913_1       
16,3,000002,8004233_1       
16,4,000002,8006479_3       
16,5,000002,8005454_1       
16,6,000002,8004333_2       
17,7,000001,8000180_1       
17,8,000001,8001974_4       
17,9,000001,8005774_1       
17,10,000001,8004357_1       
17,11,000001,8005769_2       
17,12,000001,8098096_101     
17,13,000001,8006700_1       
17,14,000001,8006699_1       
17,15,000001,8006698_1       
17,16,000001,8006513_1       
17,17,000001,8005779_1       
17,18,000001,8005776_2       
18,1,000003,8000016_5       
18,2,000003,8003913_1       
18,3,000003,8004233_1       
18,4,000003,8006479_3       
19,1,000003,8006479_2       
19,2,000003,8004233_2       
19,3,000003,8003913_2       
20,1,000001,8005776_3       
20,2,000001,8005779_2       
20,3,000001,8006513_2       
20,4,000001,8006698_2       
20,5,000001,8006699_2       
20,6,000001,8006700_2       
20,7,000001,8098096_102     
20,8,000001,8005769_3       
20,9,000001,8004357_4       
20,10,000001,8005774_4       
20,11,000001,8001974_1       
21,12,000001,8000180_3       
21,13,000002,8004333_1       
21,14,000002,8005454_2       
21,15,000001,8006479_2       
21,16,000002,8004233_2       
21,17,000002,8003913_2       
21,18,000002,8000016_5       
22,1,000001,8000016_5       
22,2,000002,8003913_1       
22,3,000002,8004233_1       
22,4,000002,8006479_3       
22,5,000002,8005454_1       
22,6,000002,8004333_2       
23,7,000001,8000180_1       
23,8,000001,8001974_4       
23,9,000001,8005774_1       
23,10,000001,8004357_1       
23,11,000001,8005769_2       
23,12,000001,8098096_101     
23,13,000001,8006700_1       
23,14,000001,8006699_1       
23,15,000001,8006698_1       
