trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1,05:45:00,05:45:00,8005776,1,,0,1,
1,05:47:00,05:47:00,8005779,2,,0,0,
1,05:49:00,05:49:00,8006513,3,,0,0,
1,05:55:00,05:55:00,8006698,4,,0,0,
1,05:56:00,05:57:00,8006699,5,,0,0,
1,05:58:00,05:58:00,8006700,6,,0,0,
1,06:00:00,06:00:00,8098096,7,,0,0,
1,06:04:00,06:04:00,8005769,8,,0,0,
1,06:07:00,06:07:00,8004357,9,,0,0,
1,06:09:00,06:09:00,8005774,10,,0,0,
1,06:11:00,06:12:00,8001974,11,,0,0,
1,06:14:00,06:15:00,8000180,12,,0,0,
2,06:14:00,06:15:00,8000180,12,,0,0,
2,06:18:00,06:18:00,8004333,13,,0,0,
2,06:21:00,06:21:00,8005454,14,,0,0,
2,06:24:00,06:24:00,8006479,15,,0,0,
2,06:26:00,06:27:00,8004233,16,,0,0,
2,06:29:00,06:30:00,8003913,17,,0,0,
2,06:33:00,06:33:00,8000016,18,,1,0,
3,06:24:00,06:24:00,8006479,1,,0,1,
3,06:26:00,06:27:00,8004233,2,,0,0,
3,06:29:00,06:30:00,8003913,3,,0,0,
3,06:33:00,06:33:00,8000016,4,,1,0,
4,05:56:00,05:56:00,8000016,1,,0,1,
4,05:58:00,05:59:00,8003913,2,,0,0,
4,06:01:00,06:01:00,8004233,3,,0,0,
4,06:04:00,06:05:00,8006479,4,,0,0,
4,06:07:00,06:08:00,8005454,5,,0,0,
4,06:10:00,06:10:00,8004333,6,,0,0,
4,06:14:00,06:15:00,8000180,7,,0,0,
5,06:14:00,06:15:00,8000180,7,,0,0,
5,06:17:00,06:18:00,8001974,8,,0,0,
5,06:20:00,06:20:00,8005774,9,,0,0,
5,06:22:00,06:23:00,8004357,10,,0,0,
5,06:25:00,06:26:00,8005769,11,,0,0,
5,06:30:00,06:30:00,8098096,12,,0,0,
5,06:32:00,06:32:00,8006700,13,,0,0,
5,06:33:00,06:34:00,8006699,14,,0,0,
5,06:35:00,06:35:00,8006698,15,,0,0,
5,06:40:00,06:40:00,8006513,16,,0,0,
5,06:42:00,06:42:00,8005779,17,,0,0,
5,06:44:00,06:44:00,8005776,18,,1,0,
6,05:56:00,05:56:00,8000016,1,,0,1,
6,05:58:00,05:59:00,8003913,2,,0,0,
6,06:01:00,06:01:00,8004233,3,,0,0,
6,06:04:00,06:04:00,8006479,4,,1,0,
7,06:15:00,06:15:00,8005776,1,,0,1,
7,06:17:00,06:17:00,8005779,2,,0,0,
7,06:19:00,06:19:00,8006513,3,,0,0,
7,06:25:00,06:25:00,8006698,4,,0,0,
7,06:26:00,06:27:00,8006699,5,,0,0,
7,06:28:00,06:28:00,8006700,6,,0,0,
7,06:30:00,06:30:00,8098096,7,,0,0,
7,06:34:00,06:34:00,8005769,8,,0,0,
7,06:37:00,06:37:00,8004357,9,,0,0,
7,06:39:00,06:39:00,8005774,10,,0,0,
7,06:41:00,06:42:00,8001974,11,,0,0,
7,06:44:00,06:45:00,8000180,12,,0,0,
8,06:44:00,06:45:00,8000180,12,,0,0,
8,06:48:00,06:48:00,8004333,13,,0,0,
8,06:51:00,06:51:00,8005454,14,,0,0,
8,06:54:00,06:54:00,8006479,15,,0,0,
8,06:56:00,06:57:00,8004233,16,,0,0,
8,06:59:00,07:00:00,8003913,17,,0,0,
8,07:03:00,07:03:00,8000016,18,,1,0,
9,06:54:00,06:54:00,8006479,1,,0,1,
9,06:56:00,06:57:00,8004233,2,,0,0,
9,06:59:00,07:00:00,8003913,3,,0,0,
9,07:03:00,07:03:00,8000016,4,,1,0,
10,06:26:00,06:26:00,8000016,1,,0,1,
10,06:28:00,06:29:00,8003913,2,,0,0,
10,06:31:00,06:31:00,8004233,3,,0,0,
10,06:34:00,06:35:00,8006479,4,,0,0,
10,06:37:00,06:38:00,8005454,5,,0,0,
10,06:40:00,06:40:00,8004333,6,,0,0,
10,06:44:00,06:45:00,8000180,7,,0,0,
11,06:44:00,06:45:00,8000180,7,,0,0,
11,06:47:00,06:48:00,8001974,8,,0,0,
11,06:50:00,06:50:00,8005774,9,,0,0,
11,06:52:00,06:53:00,8004357,10,,0,0,
11,06:55:00,06:56:00,8005769,11,,0,0,
11,07:00:00,07:00:00,8098096,12,,0,0,
11,07:02:00,07:02:00,8006700,13,,0,0,
11,07:03:00,07:04:00,8006699,14,,0,0,
11,07:05:00,07:05:00,8006698,15,,0,0,
11,07:10:00,07:10:00,8006513,16,,0,0,
11,07:12:00,07:12:00,8005779,17,,0,0,
11,07:14:00,07:14:00,8005776,18,,1,0,
