stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
S8000016,,Backnang,,48.942676,9.425989,,,1,,
8000016_5       ,,Backnang,,48.942676,9.425989,,,0,S8000016,5       
8000016_4       ,,Backnang,,48.942676,9.425989,,,0,S8000016,4       
8000016_1       ,,Backnang,,48.942676,9.425989,,,0,S8000016,1       
8000016_3       ,,Backnang,,48.942676,9.425989,,,0,S8000016,3       
8000016,,Backnang,,48.942676,9.425989,,,0,S8000016,
S8000038,,Bietigheim-Bissingen,,48.947933,9.137557,,,1,,
8000038_6       ,,Bietigheim-Bissingen,,48.947933,9.137557,,,0,S8000038,6       
8000038_5       ,,Bietigheim-Bissingen,,48.947933,9.137557,,,0,S8000038,5       
8000038,,Bietigheim-Bissingen,,48.947933,9.137557,,,0,S8000038,
S8000096,,Stuttgart Hbf,,48.784084,9.181635,,,1,,
8000096_5       ,,Stuttgart Hbf,,48.784084,9.181635,,,0,S8000096,5       
8000096_6       ,,Stuttgart Hbf,,48.784084,9.181635,,,0,S8000096,6       
8000096_4       ,,Stuttgart Hbf,,48.784084,9.181635,,,0,S8000096,4       
8000096_3       ,,Stuttgart Hbf,,48.784084,9.181635,,,0,S8000096,3       
8000096_2       ,,Stuttgart Hbf,,48.784084,9.181635,,,0,S8000096,2       
8000096,,Stuttgart Hbf,,48.784084,9.181635,,,0,S8000096,
S8000180,,Waiblingen,,48.826124,9.299882,,,1,,
8000180_3       ,,Waiblingen,,48.826124,9.299882,,,0,S8000180,3       
8000180_1       ,,Waiblingen,,48.826124,9.299882,,,0,S8000180,1       
8000180_7       ,,Waiblingen,,48.826124,9.299882,,,0,S8000180,7       
8000180_5       ,,Waiblingen,,48.826124,9.299882,,,0,S8000180,5       
8000180,,Waiblingen,,48.826124,9.299882,,,0,S8000180,
S8000235,,Ludwigsburg,,48.891862,9.185420,,,1,,
8000235_2       ,,Ludwigsburg,,48.891862,9.185420,,,0,S8000235,2       
8000235_3       ,,Ludwigsburg,,48.891862,9.185420,,,0,S8000235,3       
8000235,,Ludwigsburg,,48.891862,9.185420,,,0,S8000235,
S8000302,,Plochingen,,48.713080,9.410810,,,1,,
8000302_9       ,,Plochingen,,48.713080,9.410810,,,0,S8000302,9       
8000302_10      ,,Plochingen,,48.713080,9.410810,,,0,S8000302,10      
8000302_7       ,,Plochingen,,48.713080,9.410810,,,0,S8000302,7       
8000302,,Plochingen,,48.713080,9.410810,,,0,S8000302,
S8000313,,Renningen,,48.775121,8.932350,,,1,,
8000313_3       ,,Renningen,,48.775121,8.932350,,,0,S8000313,3       
8000313_2       ,,Renningen,,48.775121,8.932350,,,0,S8000313,2       
8000313,,Renningen,,48.775121,8.932350,,,0,S8000313,
S8000508,,Altbach,,48.720393,9.382384,,,1,,
8000508_2       ,,Altbach,,48.720393,9.382384,,,0,S8000508,2       
8000508_4       ,,Altbach,,48.720393,9.382384,,,0,S8000508,4       
8000508_3       ,,Altbach,,48.720393,9.382384,,,0,S8000508,3       
8000508,,Altbach,,48.720393,9.382384,,,0,S8000508,
S8000630,,Asperg,,48.907359,9.147797,,,1,,
8000630_4       ,,Asperg,,48.907359,9.147797,,,0,S8000630,4       
8000630_3       ,,Asperg,,48.907359,9.147797,,,0,S8000630,3       
8000630,,Asperg,,48.907359,9.147797,,,0,S8000630,
S8000873,,Benningen(Neckar),,48.943614,9.244504,,,1,,
8000873_1       ,,Benningen(Neckar),,48.943614,9.244504,,,0,S8000873,1       
8000873_2       ,,Benningen(Neckar),,48.943614,9.244504,,,0,S8000873,2       
8000873,,Benningen(Neckar),,48.943614,9.244504,,,0,S8000873,
S8000934,,Beutelsbach,,48.810293,9.386029,,,1,,
8000934_1       ,,Beutelsbach,,48.810293,9.386029,,,0,S8000934,1       
8000934_2       ,,Beutelsbach,,48.810293,9.386029,,,0,S8000934,2       
