from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
8000096,8098096,2,780,,
8098096,8000096,2,780,,
8000016,8000016,2,180,,
8000038,8000038,2,240,,
8000096,8000096,2,420,,
8000180,8000180,2,240,,
8000235,8000235,2,240,,
8000302,8000302,2,240,,
8000313,8000313,2,120,,
8000508,8000508,2,300,,
8000630,8000630,2,300,,
8000873,8000873,2,300,,
8000934,8000934,2,300,,
8001055,8001055,2,180,,
8001296,8001296,2,300,,
8001476,8001476,2,300,,
8001650,8001650,2,300,,
8001689,8001689,2,300,,
8001785,8001785,2,300,,
8001827,8001827,2,300,,
8001920,8001920,2,240,,
8001921,8001921,2,300,,
8001967,8001967,2,300,,
8001974,8001974,2,300,,
8001984,8001984,2,300,,
8002065,8002065,2,300,,
8002165,8002165,2,300,,
8002240,8002240,2,300,,
8002448,8002448,2,300,,
8002785,8002785,2,240,,
8002892,8002892,2,300,,
8003022,8003022,2,300,,
8003266,8003266,2,300,,
8003280,8003280,2,180,,
8003282,8003282,2,300,,
8003409,8003409,2,120,,
8003411,8003411,2,180,,
8003622,8003622,2,300,,
8003652,8003652,2,300,,
8003807,8003807,2,300,,
8003808,8003808,2,300,,
8003831,8003831,2,300,,
8003834,8003834,2,300,,
8003853,8003853,2,180,,
8003913,8003913,2,300,,
8004233,8004233,2,300,,
8004333,8004333,2,300,,
8004338,8004338,2,120,,
8004357,8004357,2,300,,
8004490,8004490,2,300,,
8004496,8004496,2,300,,
8004528,8004528,2,300,,
8005001,8005001,2,300,,
8005157,8005157,2,300,,
8005201,8005201,2,300,,
8005236,8005236,2,300,,
8005424,8005424,2,240,,
8005454,8005454,2,300,,
8005574,8005574,2,300,,
8005726,8005726,2,300,,
8005767,8005767,2,300,,
8005768,8005768,2,300,,
8005769,8005769,2,240,,
8005770,8005770,2,180,,
8005772,8005772,2,300,,
8005773,8005773,2,180,,
8005774,8005774,2,300,,
8005775,8005775,2,180,,
8005776,8005776,2,300,,
8005778,8005778,2,180,,
8005779,8005779,2,300,,
8005820,8005820,2,300,,
8006268,8006268,2,300,,
8006271,8006271,2,300,,
8006277,8006277,2,300,,
8006331,8006331,2,180,,
8006346,8006346,2,300,,
8006479,8006479,2,300,,
8006485,8006485,2,300,,
8006513,8006513,2,300,,
8006642,8006642,2,300,,
8006698,8006698,2,300,,
8006699,8006699,2,300,,
8006700,8006700,2,300,,
8006743,8006743,2,300,,
8098096,8098096,2,180,,
