route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000001,1,Backnang,,,1,,1
1,000002,2,Backnang,,,1,,1
1,000003,3,Backnang,,,2,,1
1,000002,4,Stuttgart-Vaihingen,,,3,,1
1,000001,5,Stuttgart-Vaihingen,,,3,,1
1,000003,6,Winnenden,,,4,,1
1,000001,7,Backnang,,,5,,1
1,000002,8,Backnang,,,5,,1
1,000003,9,Backnang,,,6,,1
1,000002,10,Stuttgart-Vaihingen,,,7,,1
1,000001,11,Stuttgart-Vaihingen,,,7,,1
1,000003,12,Winnenden,,,8,,1
1,000003,13,Backnang,,,9,,1
1,000001,14,Backnang,,,10,,1
1,000002,15,Backnang,,,10,,1
1,000002,16,Stuttgart-Vaihingen,,,11,,1
1,000001,17,Stuttgart-Vaihingen,,,11,,1
1,000003,18,Winnenden,,,12,,1
1,000003,19,Backnang,,,13,,1
1,000001,20,Backnang,,,14,,1
1,000002,21,Backnang,,,14,,1
1,000002,22,Stuttgart-Vaihingen,,,15,,1
1,000001,23,Stuttgart-Vaihingen,,,15,,1
1,000003,24,Winnenden,,,16,,1
1,000003,25,Backnang,,,17,,1
1,000001,26,Backnang,,,18,,1
1,000002,27,Backnang,,,18,,1
1,000002,28,Stuttgart-Vaihingen,,,19,,1
1,000001,29,Stuttgart-Vaihingen,,,19,,1
1,000003,30,Winnenden,,,20,,1
1,000001,31,Backnang,,,21,,1
1,000002,32,Backnang,,,21,,1
1,000003,33,Backnang,,,22,,1
1,000004,34,Stuttgart-Vaihingen,,,23,,1
1,000005,35,Stuttgart-Vaihingen,,,23,,1
1,000003,36,Winnenden,,,24,,1
1,000001,37,Backnang,,,25,,1
1,000002,38,Backnang,,,25,,1
1,000003,39,Backnang,,,26,,1
1,000006,40,Stuttgart-Vaihingen,,,27,,1
1,000007,41,Stuttgart-Vaihingen,,,27,,1
1,000003,42,Winnenden,,,28,,1
1,000001,43,Backnang,,,29,,1
1,000002,44,Backnang,,,29,,1
1,000003,45,Backnang,,,30,,1
1,000006,46,Stuttgart-Vaihingen,,,31,,1
1,000007,47,Stuttgart-Vaihingen,,,31,,1
1,000003,48,Winnenden,,,32,,1
1,000003,49,Backnang,,,33,,1
1,000005,50,Backnang,,,34,,1
1,000004,51,Backnang,,,34,,1
1,000006,52,Stuttgart-Vaihingen,,,35,,1
1,000007,53,Stuttgart-Vaihingen,,,35,,1
1,000003,54,Winnenden,,,36,,1
1,000001,55,Backnang,,,37,,1
1,000002,56,Backnang,,,37,,1
1,000003,57,Backnang,,,38,,1
1,000002,58,Stuttgart-Vaihingen,,,39,,1
1,000001,59,Stuttgart-Vaihingen,,,39,,1
1,000003,60,Winnenden,,,40,,1
1,000001,61,Backnang,,,41,,1
1,000002,62,Backnang,,,41,,1
1,000003,63,Backnang,,,42,,1
1,000002,64,Stuttgart-Vaihingen,,,43,,1
1,000001,65,Stuttgart-Vaihingen,,,43,,1
1,000003,66,Winnenden,,,44,,1
1,000001,67,Backnang,,,45,,1
1,000002,68,Backnang,,,45,,1
1,000003,69,Backnang,,,46,,1
1,000002,70,Stuttgart-Vaihingen,,,47,,1
1,000001,71,Stuttgart-Vaihingen,,,47,,1
1,000003,72,Winnenden,,,48,,1
1,000003,73,Backnang,,,49,,1
1,000001,74,Backnang,,,50,,1
1,000002,75,Backnang,,,50,,1
1,000002,76,Stuttgart-Vaihingen,,,51,,1
1,000001,77,Stuttgart-Vaihingen,,,51,,1
1,000003,78,Winnenden,,,52,,1
1,000003,79,Backnang,,,53,,1
1,000001,80,Backnang,,,54,,1
1,000002,81,Backnang,,,54,,1
1,000002,82,Stuttgart-Vaihingen,,,55,,1
1,000001,83,Stuttgart-Vaihingen,,,55,,1
1,000003,84,Winnenden,,,56,,1
1,000003,85,Backnang,,,57,,1
1,000001,86,Backnang,,,58,,1
1,000002,87,Backnang,,,58,,1
1,000002,88,Stuttgart-Vaihingen,,,59,,1
1,000001,89,Stuttgart-Vaihingen,,,59,,1
1,000003,90,Winnenden,,,60,,1
1,000001,91,Backnang,,,61,,1
1,000002,92,Backnang,,,61,,1
1,000003,93,Backnang,,,62,,1
1,000002,94,Stuttgart-Vaihingen,,,63,,1
1,000001,95,Stuttgart-Vaihingen,,,63,,1
1,000003,96,Winnenden,,,64,,1
1,000001,97,Backnang,,,65,,1
1,000002,98,Backnang,,,65,,1
1,000003,99,Backnang,,,66,,1
1,000006,100,Stuttgart-Vaihingen,,,67,,1
1,000007,101,Stuttgart-Vaihingen,,,67,,1
1,000003,102,Winnenden,,,68,,1
1,000001,103,Backnang,,,69,,1
1,000002,104,Backnang,,,69,,1
1,000003,105,Backnang,,,70,,1
1,000008,106,Stuttgart-Vaihingen,,,71,,1
1,000009,107,Stuttgart-Vaihingen,,,71,,1
1,000003,108,Winnenden,,,72,,1
1,000001,109,Backnang,,,73,,1
1,000002,110,Backnang,,,73,,1
1,000003,111,Backnang,,,74,,1
1,000008,112,Stuttgart-Vaihingen,,,75,,1
1,000009,113,Stuttgart-Vaihingen,,,75,,1
1,000003,114,Winnenden,,,76,,1
1,000003,115,Backnang,,,77,,1
1,000007,116,Backnang,,,78,,1
1,000006,117,Backnang,,,78,,1
1,000002,118,Stuttgart-Vaihingen,,,79,,1
1,000001,119,Stuttgart-Vaihingen,,,79,,1
1,000003,120,Winnenden,,,80,,1
1,000003,121,Backnang,,,81,,1
1,000009,122,Backnang,,,82,,1
1,000008,123,Backnang,,,82,,1
1,000002,124,Stuttgart-Vaihingen,,,83,,1
1,000001,125,Stuttgart-Vaihingen,,,83,,1
1,000003,126,Winnenden,,,84,,1
1,000003,127,Backnang,,,85,,1
1,000009,128,Backnang,,,86,,1
1,000008,129,Backnang,,,86,,1
1,000002,130,Stuttgart-Vaihingen,,,87,,1
1,000001,131,Stuttgart-Vaihingen,,,87,,1
1,000003,132,Winnenden,,,88,,1
1,000001,133,Backnang,,,89,,1
1,000002,134,Backnang,,,89,,1
1,000003,135,Backnang,,,90,,1
1,000002,136,Stuttgart-Vaihingen,,,91,,1
1,000001,137,Stuttgart-Vaihingen,,,91,,1
1,000003,138,Winnenden,,,92,,1
1,000001,139,Backnang,,,93,,1
1,000002,140,Backnang,,,93,,1
1,000003,141,Backnang,,,94,,1
1,000002,142,Stuttgart-Vaihingen,,,95,,1
1,000001,143,Stuttgart-Vaihingen,,,95,,1
1,000003,144,Winnenden,,,96,,1
1,000001,145,Backnang,,,97,,1
1,000002,146,Backnang,,,97,,1
1,000003,147,Backnang,,,98,,1
1,000002,148,Stuttgart-Vaihingen,,,99,,1
1,000001,149,Stuttgart-Vaihingen,,,99,,1
1,000003,150,Winnenden,,,100,,1
1,000003,151,Backnang,,,101,,1
1,000001,152,Backnang,,,102,,1
1,000002,153,Backnang,,,102,,1
2,000001,154,Marbach(Neckar),,,103,,1
2,000001,155,Stuttgart Schwabstr.,,,104,,1
